trade_deal,market,pair,entry_date,release_date,risk_percent,tick_size,entry_point,stop_loss,take_profit_one,take_profit_two,take_profit_three,take_profit_one_percent,take_profit_two_percent,take_profit_three_percent,trade_setup,trade_setup_group,timeframe,type,session,avg_rr,profit_percent,result,status,notion_text,screenshot,entry_screenshot_1,entry_screenshot_2,entry_screenshot_3,entry_description_1,entry_description_2,entry_description_3,exit_screenshot_1,exit_screenshot_2,exit_screenshot_3,exit_description_1,exit_description_2,exit_description_3,trend_tag
BTCUSD_20240101_020000,Crypto,BTC/USD,2024-01-01 02:00:00,2024-01-01 02:30:00,1.0,0.01,40000.0,39000.0,41000.0,0.0,0,100,0,0,Breakout,Scalping,M5,Long,Asia,1.0,1.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\BTCUSD_20240101_020000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Трендовая,
BTCUSD_20240102_090000,Crypto,BTC/USD,2024-01-02 09:00:00,2024-01-02 10:00:00,2.0,0.01,42000.0,43000.0,41000.0,0.0,0,100,0,0,,,H1,Short,Europe,20.0,40.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\BTCUSD_20240102_090000_entry_1.png,,,nan,Entry 1 description,nan,,,Exit 1 description,nan,nan,Контртрендовая,nan
ETHUSD_20240103_150000,Crypto,ETH/USD,2024-01-03 15:00:00,2024-01-05 15:00:00,1.5,0.01,2000.0,1950.0,2100.0,2150.0,0,50,50,0,,,D1,Long,America,37.5,56.25,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\ETHUSD_20240103_150000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Баланс/Флет,
BTCUSD_20240104_220000,Crypto,BTC/USD,2024-01-04 22:00:00,,1.0,0.01,45000.0,44000.0,46000.0,0.0,0,100,0,0,Breakout,Scalping,M15,Long,America,0.0,0.0,Breakeven,Активная,,,,,,,Entry 1 description,,,,,Без тега,,,
ETHUSD_20250101_040000,Crypto,ETH/USD,2025-01-01 04:00:00,2025-01-01 04:15:00,1.0,0.01,2500.0,2450.0,2600.0,0.0,0,100,0,0,Reversal,Scalping,M1,Long,Asia,2.0,2.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\ETHUSD_20250101_040000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Трендовая,
BTCUSD_20250102_100000,Crypto,BTC/USD,2025-01-02 10:00:00,2025-01-02 14:00:00,1.5,0.01,60000.0,61000.0,59000.0,0.0,0,100,0,0,Pullback,Intraday,H4,Short,Europe,-0.67,-1.0,Loss,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\BTCUSD_20250102_100000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Контртрендовая,
ETHUSD_20250103_170000,Crypto,ETH/USD,2025-01-03 17:00:00,,1.0,0.01,2700.0,2600.0,2800.0,0.0,0,100,0,0,Breakout,Swing,D1,Long,America,0.0,0.0,Breakeven,Ожидание,,,,,,,Entry 1 description,,,,,Баланс/Флет,,,
BTCUSD_20250104_030000,Crypto,BTC/USD,2025-01-04 03:00:00,2025-01-04 03:45:00,2.0,0.01,62000.0,61000.0,63000.0,0.0,0,100,0,0,Reversal,Scalping,M30,Long,Asia,0.5,1.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\BTCUSD_20250104_030000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Без тега,
ETHUSD_20250105_110000,Crypto,ETH/USD,2025-01-05 11:00:00,2025-01-05 12:00:00,1.0,0.01,2800.0,2900.0,2700.0,0.0,0,100,0,0,Pullback,Intraday,H1,Short,Europe,-1.0,-1.0,Loss,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\ETHUSD_20250105_110000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Трендовая,
BTCUSD_20250106_200000,Crypto,BTC/USD,2025-01-06 20:00:00,2025-01-07 20:00:00,1.5,0.01,65000.0,64000.0,66000.0,67000.0,0,50,50,0,Breakout,Swing,D1,Long,America,1.33,2.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\BTCUSD_20250106_200000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Контртрендовая,
ETHUSD_20250107_050000,Crypto,ETH/USD,2025-01-07 05:00:00,,1.0,0.01,2900.0,2800.0,3000.0,0.0,0,100,0,0,Reversal,Scalping,M5,Long,Asia,0.0,0.0,Breakeven,Активная,,,,,,,Entry 1 description,,,,,Баланс/Флет,,,
BTCUSD_20250108_130000,Crypto,BTC/USD,2025-01-08 13:00:00,2025-01-08 14:00:00,1.0,0.01,67000.0,66000.0,68000.0,0.0,0,100,0,0,Pullback,Intraday,H1,Long,Europe,1.0,1.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\BTCUSD_20250108_130000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Без тега,
EURUSD_20240101_030000,Forex,EUR/USD,2024-01-01 03:00:00,2024-01-01 03:30:00,1.0,0.0001,1.1,1.09,1.11,0.0,0,100,0,0,Breakout,Scalping,M5,Long,Asia,1.0,1.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\EURUSD_20240101_030000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Трендовая,
GBPUSD_20240102_090000,Forex,GBP/USD,2024-01-02 09:00:00,2024-01-02 10:00:00,1.5,0.0001,1.27,1.28,1.26,0.0,0,100,0,0,Reversal,Intraday,H1,Short,Europe,-0.67,-1.0,Loss,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\GBPUSD_20240102_090000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Контртрендовая,
USDJPY_20240103_160000,Forex,USD/JPY,2024-01-03 16:00:00,2024-01-05 16:00:00,1.0,0.01,140.0,138.0,142.0,143.0,0,50,50,0,Pullback,Swing,D1,Long,America,2.0,2.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\USDJPY_20240103_160000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Баланс/Флет,
EURUSD_20240104_230000,Forex,EUR/USD,2024-01-04 23:00:00,,1.0,0.0001,1.09,1.08,1.1,0.0,0,100,0,0,Breakout,Scalping,M15,Long,America,0.0,0.0,Breakeven,Активная,,,,,,,Entry 1 description,,,,,Без тега,,,
GBPUSD_20250101_050000,Forex,GBP/USD,2025-01-01 05:00:00,2025-01-01 05:15:00,1.0,0.0001,1.3,1.29,1.31,0.0,0,100,0,0,Reversal,Scalping,M1,Long,Asia,1.0,1.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\GBPUSD_20250101_050000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Трендовая,
USDJPY_20250102_110000,Forex,USD/JPY,2025-01-02 11:00:00,2025-01-02 15:00:00,1.5,0.01,145.0,147.0,143.0,0.0,0,100,0,0,Pullback,Intraday,H4,Short,Europe,-1.33,-2.0,Loss,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\USDJPY_20250102_110000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Контртрендовая,
EURUSD_20250103_180000,Forex,EUR/USD,2025-01-03 18:00:00,,1.0,0.0001,1.08,1.07,1.09,0.0,0,100,0,0,Breakout,Swing,D1,Long,America,0.0,0.0,Breakeven,Ожидание,,,,,,,Entry 1 description,,,,,Баланс/Флет,,,
GBPUSD_20250104_040000,Forex,GBP/USD,2025-01-04 04:00:00,2025-01-04 04:45:00,1.0,0.0001,1.31,1.3,1.32,0.0,0,100,0,0,Reversal,Scalping,M30,Long,Asia,1.0,1.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\GBPUSD_20250104_040000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Без тега,
USDJPY_20250105_120000,Forex,USD/JPY,2025-01-05 12:00:00,2025-01-05 13:00:00,1.0,0.01,150.0,152.0,148.0,0.0,0,100,0,0,Pullback,Intraday,H1,Short,Europe,-2.0,-2.0,Loss,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\USDJPY_20250105_120000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Трендовая,
EURUSD_20250106_210000,Forex,EUR/USD,2025-01-06 21:00:00,2025-01-07 21:00:00,1.5,0.0001,1.07,1.06,1.08,1.09,0,50,50,0,Breakout,Swing,D1,Long,America,1.33,2.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\EURUSD_20250106_210000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Контртрендовая,
GBPUSD_20250107_060000,Forex,GBP/USD,2025-01-07 06:00:00,,1.0,0.0001,1.32,1.31,1.33,0.0,0,100,0,0,Reversal,Scalping,M5,Long,Asia,0.0,0.0,Breakeven,Активная,,,,,,,Entry 1 description,,,,,Баланс/Флет,,,
USDJPY_20250108_140000,Forex,USD/JPY,2025-01-08 14:00:00,2025-01-08 15:00:00,1.0,0.01,155.0,153.0,157.0,0.0,0,100,0,0,Pullback,Intraday,H1,Long,Europe,2.0,2.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\USDJPY_20250108_140000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Без тега,
